sp_type,wc_ratio,silica_fume,dosage,flow_time
PCE,0.35,0.0,0.1,13.0
PCE,0.35,0.0,0.15,10.0
PCE,0.35,0.0,0.2,9.0
PCE,0.35,0.0,0.25,8.0
PCE,0.35,0.0,0.3,7.0
PCE,0.35,0.0,0.35,7.0
PCE,0.35,0.0,0.4,7.0
PCE,0.4,0.0,0.1,11.0
PCE,0.4,0.0,0.15,10.0
PCE,0.4,0.0,0.2,9.0
PCE,0.4,0.0,0.25,8.0
PCE,0.4,0.0,0.3,6.0
PCE,0.4,0.0,0.35,5.0
PCE,0.4,0.0,0.4,5.0
PCE,0.45,0.0,0.1,6.0
PCE,0.45,0.0,0.15,5.8
PCE,0.45,0.0,0.2,4.5
PCE,0.45,0.0,0.25,4.2
PCE,0.45,0.0,0.3,4.0
PCE,0.45,0.0,0.35,4.0
PCE,0.45,0.0,0.4,4.0
PCE,0.35,5.0,0.1,19.0
PCE,0.35,5.0,0.15,15.0
PCE,0.35,5.0,0.2,12.0
PCE,0.35,5.0,0.25,11.0
PCE,0.35,5.0,0.3,10.0
PCE,0.35,5.0,0.35,9.5
PCE,0.35,5.0,0.4,9.0
PCE,0.35,5.0,0.45,8.0
PCE,0.35,5.0,0.5,8.0
PCE,0.4,5.0,0.1,15.0
PCE,0.4,5.0,0.15,12.0
PCE,0.4,5.0,0.2,11.0
PCE,0.4,5.0,0.25,9.0
PCE,0.4,5.0,0.3,7.0
PCE,0.4,5.0,0.35,6.0
PCE,0.4,5.0,0.4,6.0
PCE,0.4,5.0,0.45,6.0
PCE,0.4,5.0,0.5,6.0
PCE,0.45,5.0,0.1,11.0
PCE,0.45,5.0,0.15,8.0
PCE,0.45,5.0,0.2,9.0
PCE,0.45,5.0,0.25,6.0
PCE,0.45,5.0,0.3,5.0
PCE,0.45,5.0,0.35,5.0
PCE,0.45,5.0,0.4,5.0
PCE,0.45,5.0,0.45,5.0
PCE,0.45,5.0,0.5,5.0
PCE,0.35,10.0,0.1,18.0
PCE,0.35,10.0,0.15,16.0
PCE,0.35,10.0,0.2,15.0
PCE,0.35,10.0,0.25,12.0
PCE,0.35,10.0,0.3,11.0
PCE,0.35,10.0,0.35,10.0
PCE,0.35,10.0,0.4,10.0
PCE,0.35,10.0,0.45,10.0
PCE,0.4,10.0,0.1,15.0
PCE,0.4,10.0,0.15,13.0
PCE,0.4,10.0,0.2,12.0
PCE,0.4,10.0,0.25,10.0
PCE,0.4,10.0,0.3,7.0
PCE,0.4,10.0,0.35,6.0
PCE,0.4,10.0,0.4,5.5
PCE,0.4,10.0,0.45,5.5
PCE,0.45,10.0,0.1,14.0
